ulasan,apresiasi,kritik
  bagus   lapor kritik soal jak wifi ribet akses alias paswordnya kata nanya tugas justru yang   ribet misal datang taman duduk santai nemenin anak main kan enak kalau langsung make wifi   baca berita jadi irit kuota  ,1,1
  menu jaki vaksin sih minggu gabiza akses menu vaksin dong baik  ,0,1
  hello jaki lapor jakarta aman  eror  bantu jangan  eror  pesonanewsensiclopedia coba beda akun email tetap guna 10 maret 2023   lama loh  eror   ,0,1
  enak pake jakikalaumau lapor tinggal foto langsung respon cepat paling enak banyak fitur  ,1,0
  pernah daftar dadak kalau tebet ecopark misal baca daftar 4025 orang eh coba2 ubah angka daftar daftar 4030 orang  keluar  coba baca beda   daftar 4045  orang  maksudkalauemng daftar gabisa kouta penuh kouta daftar malah tambah sedang daftar gabisa2 disuru coba hari maksud si emang bnran nambah orang daftar apah  ,0,1
  beri 4 bintang biar makin semangat it jaki lha jaki daftar vaksinasi booster - 2 muncul jawab maaf fitur bgm cara daftar vaksinasi opsi daftar on the spot lokasi vaksinasi  ,1,1
  coba tidk sedang baik kok sethunkalautidak niat bikin gausah bikin nyusahin  ,0,1
  system baik daftar vaksin  ,0,1
  nik verifikasi   login daftar vaksin malah kata nik daftar tanya lwt ig kata bantu nyata diread doang hari dm kali read update status heran niat bantu karyawan  ,0,1
  daftar sunggu ribet lbih gampang daftar akun blanja shop payah smua hp kamera depan bagus cahaya bagus daftar photography sertain lewat album file karna punya file males photo cari cahaya dulu daftar mo jadi kang photo ribet  ,0,1
  daftar vaksinasi lewat jaki tidak situ suruh masukin nik nama sesuai ktp klik periksa muncul tulis maaf kuota daftar habis muncul tulis gitu dong baik  ,0,1
  fiktur lapor skrng lumayan lapor bukan selesai masalah justru malah tambah masalah baru respon sih cepat tindak lama bnget mohon lah baik  ,1,1
  simpel pake   buka tuh lapor tatap muka balai kota praktis simpel lapor cepat tanggap  ,1,0
  wkwk mudah vaksin ujung mah daftar offline alas kuota abis pas puskesmas vaksin suruh gor tempat ngadain vaksin emang hidup indo serba lempar sana lempar sini koordinasi ancur  ,0,1
  jaki bagus pemprov dki  yang sibuk partisipasi bangun kota jakarta adu cepat diupdate tangan salut  ,1,0
  susah buka bukan 1 2 x baru daftar akun jaki  ,0,1
  soal sepele memang status cepat tindak mungkin tepat masalah kait rambu2 jalan informatif selesai screenshoot google map terang tambah rambu sesuai jauh beda pokok masalah mungkin banyak masalah sesuai dar selesai lapor   guna  ,0,1
  jaki lapor emang kerja lapor pura2 kerja padahal apa2 in bukti berapa kali   lapor parkirliar tangkap oknum2 padahal jalan parkir liar jadi sempit  ,0,1
  beberapa bulan nyoba  eror    tinggalin males sekarang coba weslah uninstall ae  ,0,1
   manfaat free wifi cepat  ,1,0
  kali buka jak survey kok muncul muncul   isi survey padahal orang muncul jak survey  ,0,1
  sedikit kritik saran mungkin alangkah baik apabila warga khusus warga jakarta lapor jaki harap beri terang proses lapor apabila lapor selesai beri terang hasil selesai bentuk mungkin jelas bentuk dokumentasi si lapor rasa yakin lapor 100 proses hasil teri terima kasih  bpk ibu  ,0,1
  alhamdullah semua lapor lewat jaki selalu cepat respon  ,1,0
  keren lapor besok langsung kalau perlu  in etle masyarakat akses  ,1,0
   eror  sih daftar vaksin dosis pertama kok susah pas pilih lokasi faskes tera sedikit padahal daftar kuota sedia banyak pilih faskes sesuai wilayah pilih kuota sampai bolakbalik jaki   mastiin hasil bikin pusing padahal butuh     lamar kerja dong baik sistem jangan sulit masyarakat  ,0,1
  2 kali turut lapor   s tutup pihak jaki problem selesai kecewa recommended  ,0,1
    pdhal email user password benar daftar kata sesuai  ,0,1
  keren responsif saran database besar biar makin lancar kendala  ,1,0
  daftar ulang vaksin tulis maaf kuota sedia  ,0,1
  bagong fungsi baik lapor tl abal - abal magabut  ,0,1
  keren lohkalaubingung ngadu ngadu perintah lwt sini cepat tanggap kerennn  ,1,0
  login jaki susah msuk2 mohon baik cepat  ,0,1
  cetak sppt susah terang salah tak duga mulu  ,0,1
  y  bagus respon adu cepat tangan  ,1,0
   bagus sekali   jaki mudah bantu manfaat terimakash bpk gubernur hasil karya baik  ,1,0
  terima kasih pemrov dki sedia aplikasi  bantu info vaksin booking layan sehat masalah hadap warga dki jakarta  manfaat  ,1,0
  turut bagus bikin bgni   nyata sinkron daftar vaksin nentuin jam tanggal lokasi lokasi tolak krna kuota habis fungsi daftar jaki sia jadi buang tenaga pikir waktu kalau memang jalan benah dulu jangan langsung   mudah malah jadi kecewa banyak orang  ,1,1
  perintah paling niat ui bagus light moga fiturnya tambah jadi semua perlu warga cukup akses satu   great works pemprov dki  ,1,0
  paling ribet mao bikin terang lapor arang rangkai kalimat panjang kalau kalimat penuh syarat kriteria 200 huruf apply lapor  ,0,1
  keren waktu daftar loading    2  ,1,0
  bagus daftar vaksin   temen2 terang maaf jadwal rs   arti bukan sistem bug emang penuh nyari beberapa tmpatnya 10 menit akhir dpt   lokasi vaksin sedia semangat cari  ,1,0
   kecewa  lambat padahal jaring sedang normal baru download sekali cache user friendly baik adik butuh hasil tes tugas sekolah  ,0,1
  benar ide  luar biasa bareng kesiap kata karna nyata banyak fitur kerja optimal karna tugas sekolah coba fitur jakclm isi jenis kelamin tolong devloper segera baik  ,1,1
   bantu bagai masalah masuk jaki keren pokok moga kembang makin baik beri baik yaa  ,1,0
  terlalu bagus susah daftar nik alpukat gagal mulu hadeh gaptek nih  ,0,1
  login nik nama sesuai cek bagus ni     login keluar otomatis bakal logout data2 pribadi simpan kalau apa2  ,1,0
