apresiasi,kritik,ulasan
0,1,dari cara masuk login nya eror terus di ulang beberapa kali tetap aja eror terus tolong cepat di baik biar sesuai dngn nama aplikasi
0,1,telah isi clm lalu aplikasi ini belum sempat simpan dan malah keluar dan saat ingin isi kembali malah di blg minggu lg baru bisa di isi sdgkan harus brngkt besok solusi nya gmana
1,0,mantap sekali aplikasi bisa ngurus surat tanpa harus ke kantor dinas bisa laku jarak jauh moga update lebih bagus lagi dengan tambah fitur lain
0,1,menu jobfair kaga bisa buka penuh tuh server harus dibenerin lagi udah hari h nya malah kaga bisa dipake nanti kalo udah bener bintang jadi 5 lagi
1,1,udah 4 bulan pake lumayan juga buat cari informasi jadi mangkas waktu tapi kenapa loading halaman suka lama padahal akses apl lain cepet aja
0,1,aju lalu aplikasi bukan nya mudah proses malah balik nya dan respon nya sangat lambat harus tunggu dua hari hanya untuk dapat balas chat
0,1,fitur pendaftarqn vaksin gak bisa klik udah cek cara kala juga tetep gak bisa atau memang untuk ktp luar jogja gak bisa daftar vaksin lewat aplikasi ini
1,1,tetap saya kasih bintang 5 karena saya dapat panggil kerja tapi saya sangat kecewa karena saat laku update aplikasi tangerang live saya tidak bisa login ulang dan akun saya tidak daftar mohon untuk bisa di baik lagi
0,1,awal bagus pas kesini nya server putus padahal jaring bagus bagai mana solusi nya
1,0,semga depan nya sikoja makin mantap dan jambi lebih maju lgi
0,1,maaf min knpa stelah aju tambah anggota keluarga di kk baru telah logout knpa tidak bisa login lagi mohon responnya
0,1,utk lapor pertama lansung d respon tpi utk lapor yg ke dua blum juga ada respon sedikit kecewa kurang tanggap
0,1,untuk soal sepele memang status cepat tindak dan mungkin sudah tepat tapi untuk masalah yg kait rambu2 jalan yg tidak ada tidak informatif selesai hanya dengan screenshoot google map dan terang tambah rambu sudah sesuai ini jauh beda dari pokok masalah mungkin banyak lagi masalah yg gak sesuai tapi dar di selesai sehingga lapor yg buat aplikasi ini seperti tidak guna
0,1,saya melaporkam tentang got salur air karena gak ada salur jadi air tampung jadi 1 klo musim hujan begini banjir pak erii tolong segera tinjau saya sudah sampai lewat aplikasi warga sudah 2 bulan masih tindak lanjut aja
1,0,sangat bantu pada masyarakat
0,1,saya kecewa sama dws karna saya mau imunisasi anak jadi terlampat sampai lewat 2 bulan tiap kali daftar lalu dws slalu ga bisa dateng langsung ga terima karna harus daftar online saya kan orang tidak mampu jadi jangan sulit guna fasilitas perintah
0,1,pas mau bayar gagal terus gimana warga mau wajib pajak kalau sistem nya masih jelek
0,1,penting banget mau isi jakclm untuk sekolah tapi selalu ada tulis bad gateway plisss admin mohon dong di baik bug nya saya selalu update baru terus loh padahal
